,trial,method_key,method,beta,target,runtime,reward,logprob,edit_distance,normalized_edit_distance
140,0,exact_guidance_u,Exact Guidance,10,OOD Sine,313.27435909211636,0.1533549668449284,-1118.0992431640625,240.0,0.9375
141,1,exact_guidance_u,Exact Guidance,10,OOD Sine,285.87801748514175,0.353786201098432,-262.35198974609375,133.0,0.93006993006993
142,2,exact_guidance_u,Exact Guidance,10,OOD Sine,295.6779329404235,0.3073747782123517,-407.4192199707031,151.0,0.9320987654320988
143,3,exact_guidance_u,Exact Guidance,10,OOD Sine,302.40135333687067,0.2548226413322821,-590.116455078125,175.0,0.9308510638297872
144,4,exact_guidance_u,Exact Guidance,10,OOD Sine,348.1318382322788,0.1724216238937528,-1758.005615234375,225.0,0.87890625
145,5,exact_guidance_u,Exact Guidance,10,OOD Sine,369.03028440475464,0.1582229760494984,-2238.059326171875,236.0,0.921875
146,6,exact_guidance_u,Exact Guidance,10,OOD Sine,345.3109274059534,0.1684274812781842,-1930.1983642578125,228.0,0.890625
147,7,exact_guidance_u,Exact Guidance,10,OOD Sine,311.8281915783882,0.1778948737626692,-946.3653564453124,221.0,0.8947368421052632
148,8,exact_guidance_u,Exact Guidance,10,OOD Sine,288.72816301882267,0.3375851514160396,-330.4767761230469,139.0,0.9328859060402684
149,9,exact_guidance_u,Exact Guidance,10,OOD Sine,354.58770018070936,0.1594639342309481,-1559.791259765625,235.0,0.91796875
150,10,exact_guidance_u,Exact Guidance,10,OOD Sine,330.00217470526695,0.1778948737626692,-976.895751953125,221.0,0.9324894514767932
151,11,exact_guidance_u,Exact Guidance,10,OOD Sine,312.5383819565177,0.1671167682202057,-1084.7259521484375,229.0,0.89453125
152,12,exact_guidance_u,Exact Guidance,10,OOD Sine,300.0972482636571,0.3171319010520927,-396.2832946777344,147.0,0.930379746835443
153,13,exact_guidance_u,Exact Guidance,10,OOD Sine,308.35007356107235,0.1710798281713425,-951.057373046875,226.0,0.9076305220883534
154,14,exact_guidance_u,Exact Guidance,10,OOD Sine,299.516348823905,0.256821240078655,-550.8148193359375,174.0,0.935483870967742
155,15,exact_guidance_u,Exact Guidance,10,OOD Sine,308.05561052262783,0.1878944330870016,-875.8798828125,214.0,0.9145299145299144
156,16,exact_guidance_u,Exact Guidance,10,OOD Sine,321.21758753061295,0.1658162552121675,-1220.11328125,230.0,0.8984375
157,17,exact_guidance_u,Exact Guidance,10,OOD Sine,316.8544721156359,0.1645258628766512,-970.8282470703124,231.0,0.9352226720647774
158,18,exact_guidance_u,Exact Guidance,10,OOD Sine,301.1324371546507,0.1923502211610474,-846.794921875,211.0,0.9094827586206896
159,19,exact_guidance_u,Exact Guidance,10,OOD Sine,323.6207174062729,0.1645258628766512,-1259.9417724609375,231.0,0.90234375
